scenario,psm_question,price_code,n
stated_preference,too_cheap,P00_09,
stated_preference,too_cheap,P10_19,
stated_preference,too_cheap,P20_29,
stated_preference,too_cheap,P30_49,
stated_preference,too_cheap,P50_79,
stated_preference,too_cheap,P80_119,
stated_preference,too_cheap,P120_199,
stated_preference,too_cheap,P200_299,
stated_preference,too_cheap,P300_PLUS,
stated_preference,cheap,P00_09,
stated_preference,cheap,P10_19,
stated_preference,cheap,P20_29,
stated_preference,cheap,P30_49,
stated_preference,cheap,P50_79,
stated_preference,cheap,P80_119,
stated_preference,cheap,P120_199,
stated_preference,cheap,P200_299,
stated_preference,cheap,P300_PLUS,
stated_preference,expensive,P00_09,
stated_preference,expensive,P10_19,
stated_preference,expensive,P20_29,
stated_preference,expensive,P30_49,
stated_preference,expensive,P50_79,
stated_preference,expensive,P80_119,
stated_preference,expensive,P120_199,
stated_preference,expensive,P200_299,
stated_preference,expensive,P300_PLUS,
stated_preference,too_expensive,P00_09,
stated_preference,too_expensive,P10_19,
stated_preference,too_expensive,P20_29,
stated_preference,too_expensive,P30_49,
stated_preference,too_expensive,P50_79,
stated_preference,too_expensive,P80_119,
stated_preference,too_expensive,P120_199,
stated_preference,too_expensive,P200_299,
stated_preference,too_expensive,P300_PLUS,
high_certainty_19,too_cheap,P00_09,
high_certainty_19,too_cheap,P10_19,
high_certainty_19,too_cheap,P20_29,
high_certainty_19,too_cheap,P30_49,
high_certainty_19,too_cheap,P50_79,
high_certainty_19,too_cheap,P80_119,
high_certainty_19,too_cheap,P120_199,
high_certainty_19,too_cheap,P200_299,
high_certainty_19,too_cheap,P300_PLUS,
high_certainty_19,cheap,P00_09,
high_certainty_19,cheap,P10_19,
high_certainty_19,cheap,P20_29,
high_certainty_19,cheap,P30_49,
high_certainty_19,cheap,P50_79,
high_certainty_19,cheap,P80_119,
high_certainty_19,cheap,P120_199,
high_certainty_19,cheap,P200_299,
high_certainty_19,cheap,P300_PLUS,
high_certainty_19,expensive,P00_09,
high_certainty_19,expensive,P10_19,
high_certainty_19,expensive,P20_29,
high_certainty_19,expensive,P30_49,
high_certainty_19,expensive,P50_79,
high_certainty_19,expensive,P80_119,
high_certainty_19,expensive,P120_199,
high_certainty_19,expensive,P200_299,
high_certainty_19,expensive,P300_PLUS,
high_certainty_19,too_expensive,P00_09,
high_certainty_19,too_expensive,P10_19,
high_certainty_19,too_expensive,P20_29,
high_certainty_19,too_expensive,P30_49,
high_certainty_19,too_expensive,P50_79,
high_certainty_19,too_expensive,P80_119,
high_certainty_19,too_expensive,P120_199,
high_certainty_19,too_expensive,P200_299,
high_certainty_19,too_expensive,P300_PLUS,
high_certainty_39,too_cheap,P00_09,
high_certainty_39,too_cheap,P10_19,
high_certainty_39,too_cheap,P20_29,
high_certainty_39,too_cheap,P30_49,
high_certainty_39,too_cheap,P50_79,
high_certainty_39,too_cheap,P80_119,
high_certainty_39,too_cheap,P120_199,
high_certainty_39,too_cheap,P200_299,
high_certainty_39,too_cheap,P300_PLUS,
high_certainty_39,cheap,P00_09,
high_certainty_39,cheap,P10_19,
high_certainty_39,cheap,P20_29,
high_certainty_39,cheap,P30_49,
high_certainty_39,cheap,P50_79,
high_certainty_39,cheap,P80_119,
high_certainty_39,cheap,P120_199,
high_certainty_39,cheap,P200_299,
high_certainty_39,cheap,P300_PLUS,
high_certainty_39,expensive,P00_09,
high_certainty_39,expensive,P10_19,
high_certainty_39,expensive,P20_29,
high_certainty_39,expensive,P30_49,
high_certainty_39,expensive,P50_79,
high_certainty_39,expensive,P80_119,
high_certainty_39,expensive,P120_199,
high_certainty_39,expensive,P200_299,
high_certainty_39,expensive,P300_PLUS,
high_certainty_39,too_expensive,P00_09,
high_certainty_39,too_expensive,P10_19,
high_certainty_39,too_expensive,P20_29,
high_certainty_39,too_expensive,P30_49,
high_certainty_39,too_expensive,P50_79,
high_certainty_39,too_expensive,P80_119,
high_certainty_39,too_expensive,P120_199,
high_certainty_39,too_expensive,P200_299,
high_certainty_39,too_expensive,P300_PLUS,
high_certainty_69,too_cheap,P00_09,
high_certainty_69,too_cheap,P10_19,
high_certainty_69,too_cheap,P20_29,
high_certainty_69,too_cheap,P30_49,
high_certainty_69,too_cheap,P50_79,
high_certainty_69,too_cheap,P80_119,
high_certainty_69,too_cheap,P120_199,
high_certainty_69,too_cheap,P200_299,
high_certainty_69,too_cheap,P300_PLUS,
high_certainty_69,cheap,P00_09,
high_certainty_69,cheap,P10_19,
high_certainty_69,cheap,P20_29,
high_certainty_69,cheap,P30_49,
high_certainty_69,cheap,P50_79,
high_certainty_69,cheap,P80_119,
high_certainty_69,cheap,P120_199,
high_certainty_69,cheap,P200_299,
high_certainty_69,cheap,P300_PLUS,
high_certainty_69,expensive,P00_09,
high_certainty_69,expensive,P10_19,
high_certainty_69,expensive,P20_29,
high_certainty_69,expensive,P30_49,
high_certainty_69,expensive,P50_79,
high_certainty_69,expensive,P80_119,
high_certainty_69,expensive,P120_199,
high_certainty_69,expensive,P200_299,
high_certainty_69,expensive,P300_PLUS,
high_certainty_69,too_expensive,P00_09,
high_certainty_69,too_expensive,P10_19,
high_certainty_69,too_expensive,P20_29,
high_certainty_69,too_expensive,P30_49,
high_certainty_69,too_expensive,P50_79,
high_certainty_69,too_expensive,P80_119,
high_certainty_69,too_expensive,P120_199,
high_certainty_69,too_expensive,P200_299,
high_certainty_69,too_expensive,P300_PLUS,
